1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,3.7194e+06
-0.26923,0.26923,0.16667,0,-1,-1.04,-0.95833,-0.96154,0.08,0.04,0.12,-0.11111,-0.2622,0.25314,0.17088,3.1416,-1.297,-1.3148,-1.3597,-1.4558,-0.26923,0.26923,0.16667,0,-1,-1.04,-0.95833,-0.96154,0.08,0.04,0.12,-0.11111,-0.2622,0.25314,0.17088,3.1416,-1.297,-1.3148,-1.3597,-1.4558,-0.26923,0.23077,0.16667,0,-1,-1.04,-0.95833,-0.96154,0.08,0,0.12,-0.11111,-0.2622,1.5708,0.17088,3.1416,-1.297,-1.3524,-1.3597,-1.4558,1
-0.26923,0.23077,0.16667,0,-1,-1.04,-0.95833,-0.96154,0.08,0,0.12,-0.11111,-0.2622,1.5708,0.17088,3.1416,-1.297,-1.3524,-1.3597,-1.4558,-0.30769,0.23077,0.20833,0,-1,-1.04,-0.95833,-0.96154,0.08,0.04,0.12,-0.11111,-0.2976,0.2182,0.21245,3.1416,-1.263,-1.3493,-1.325,-1.4558,-0.26923,0.19231,0.20833,0,-1,-1,-0.95833,-0.96154,0.08,0.04,0.12,-0.11111,-0.2622,0.18984,0.21245,3.1416,-1.297,-1.3768,-1.325,-1.4558,1
-0.26923,0.19231,0.20833,0,-1,-1,-1,-0.96154,0.08,0.04,0.12,-0.14815,-0.2622,0.18984,0.20397,3.1416,-1.297,-1.3768,-1.3349,-1.4179,-0.30769,0.23077,0.20833,0,-1,-1,-1,-0.96154,0.08,0.04,0.12,-0.11111,-0.2976,0.22662,0.20397,3.1416,-1.263,-1.3407,-1.3349,-1.4558,-0.26923,0.23077,0.20833,0,-1,-1,-1,-0.96154,0.08,0,0.12,-0.11111,-0.2622,1.5708,0.20397,3.1416,-1.297,-1.344,-1.3349,-1.4558,1
-0.26923,0.23077,0.16667,0,-1,-1,-1,-0.96154,0.08,0,0.12,-0.11111,-0.2622,1.5708,0.16399,3.1416,-1.297,-1.344,-1.3682,-1.4558,-0.30769,0.23077,0.16667,0,-0.96,-1,-1,-0.96154,0.08,0,0.12,-0.11111,-0.30916,1.5708,0.16399,3.1416,-1.251,-1.344,-1.3682,-1.4558,-0.26923,0.19231,0.16667,0,-1,-1,-0.95833,-0.96154,0.08,0,0.12,-0.074074,-0.2622,1.5708,0.17088,3.1416,-1.297,-1.3808,-1.3597,-1.4939,1
-0.30769,0.19231,0.16667,0,-1,-1,-1,-0.96154,0.08,0,0.08,-0.11111,-0.2976,1.5708,0.16463,3.1416,-1.263,-1.3808,-1.388,-1.4558,-0.26923,0.19231,0.16667,0,-1,-1.04,-1,-0.96154,0.08,0,0.08,-0.11111,-0.2622,1.5708,0.16463,3.1416,-1.297,-1.388,-1.388,-1.4558,-0.26923,0.19231,0.16667,0,-1,-1,-0.95833,-0.96154,0.08,0,0.08,-0.11111,-0.2622,1.5708,0.17161,3.1416,-1.297,-1.3808,-1.3802,-1.4558,1
-0.26923,0.23077,0.16667,0,-1,-1.04,-0.95833,-0.96154,0.08,-0.04,0.08,-0.11111,-0.2622,2.9234,0.17161,3.1416,-1.297,-1.3493,-1.3802,-1.4558,-0.26923,0.23077,0.16667,0,-1,-1.08,-0.95833,-0.96154,0.08,-0.04,0.08,-0.11111,-0.2622,2.9312,0.17161,3.1416,-1.297,-1.3572,-1.3802,-1.4558,-0.26923,0.26923,0.16667,0,-1,-1.04,-0.91667,-0.96154,0.08,-0.04,0.08,-0.14815,-0.2622,2.8885,0.17919,3.1416,-1.297,-1.3148,-1.3718,-1.4179,1
-0.26923,0.26923,0.16667,0,-1,-1.04,-0.95833,-0.96154,0.08,-0.04,0.08,-0.11111,-0.2622,2.8885,0.17161,3.1416,-1.297,-1.3148,-1.3802,-1.4558,-0.26923,0.26923,0.16667,0,-1,-1.04,-0.91667,-0.96154,0.08,0,0.08,-0.11111,-0.2622,1.5708,0.17919,3.1416,-1.297,-1.3175,-1.3718,-1.4558,-0.26923,0.26923,0.16667,0,-1,-1.08,-0.91667,-0.96154,0.08,-0.04,0.08,-0.11111,-0.2622,2.8974,0.17919,3.1416,-1.297,-1.3239,-1.3718,-1.4558,1
-0.26923,0.26923,0.16667,0,-1,-1.08,-0.91667,-0.96154,0.08,-0.04,0.08,-0.11111,-0.2622,2.8974,0.17919,3.1416,-1.297,-1.3239,-1.3718,-1.4558,-0.26923,0.26923,0.16667,0,-1,-1.08,-0.95833,-0.96154,0.08,0,0.08,-0.11111,-0.2622,1.5708,0.17161,3.1416,-1.297,-1.3265,-1.3802,-1.4558,-0.30769,0.23077,0.125,0,-1,-1.08,-0.95833,-0.96154,0.08,0,0.08,-0.11111,-0.2976,1.5708,0.12926,3.1416,-1.263,-1.3603,-1.4172,-1.4558,1
-0.30769,0.23077,0.16667,0,-1,-1.04,-0.95833,-0.96154,0.08,0,0.08,-0.14815,-0.2976,1.5708,0.17161,3.1416,-1.263,-1.3524,-1.3802,-1.4179,-0.30769,0.23077,0.16667,0,-1,-1.04,-1,-0.96154,0.04,-0.04,0.04,-0.14815,-0.29827,2.9234,0.16502,3.1416,-1.2699,-1.3493,-1.401,-1.4179,-0.30769,0.19231,0.16667,0,-0.96,-1,-1,-0.96154,0.04,-0.04,0.04,-0.14815,-0.30992,2.9518,0.16502,3.1416,-1.2582,-1.3768,-1.401,-1.4179,1
-0.30769,0.19231,0.16667,0,-1,-1,-1,-0.96154,0.04,-0.04,0.04,-0.14815,-0.29827,2.9518,0.16502,3.1416,-1.2699,-1.3768,-1.401,-1.4179,-0.30769,0.19231,0.16667,0,-1,-1,-0.95833,-0.96154,0.08,-0.04,0.04,-0.14815,-0.2976,2.9518,0.17204,3.1416,-1.263,-1.3768,-1.3938,-1.4179,-0.30769,0.23077,0.16667,0,-1,-1,-0.95833,-0.96154,0.08,-0.04,0.04,-0.11111,-0.2976,2.915,0.17204,3.1416,-1.263,-1.3407,-1.3938,-1.4558,1
0.038462,0.69231,0.5,0,-1,-0.76,-0.75,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.7327,2.5759,3.1416,-1.4823,-0.8246,-0.93406,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.038412,0.7327,2.5979,3.1416,-1.5154,-0.8246,-0.95969,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.038412,0.7327,2.5979,3.1416,-1.5154,-0.8246,-0.95969,-1.2371,1
0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.7327,2.5979,3.1416,-1.4823,-0.8246,-0.95969,-1.2371,0.038462,0.69231,0.45833,0,-1,-0.72,-0.79167,-0.96154,0.04,0.16,-0.24,-0.33333,0.038412,0.75376,2.6356,3.1416,-1.5154,-0.792,-0.99195,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.038412,0.7327,2.5979,3.1416,-1.5154,-0.8246,-0.95969,-1.2371,1
0.038462,0.69231,0.45833,0,-1,-0.72,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.75895,2.6356,3.1416,-1.4823,-0.79761,-0.99195,-1.2371,0.038462,0.69231,0.45833,0,-1,-0.76,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.038412,0.7327,2.6356,3.1416,-1.5154,-0.8246,-0.99195,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.04,0.16,-0.24,-0.33333,0.038412,0.72804,2.5979,3.1416,-1.5154,-0.81901,-0.95969,-1.2371,1
0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.08,0.12,-0.24,-0.2963,0.03832,0.7327,2.5979,3.1416,-1.4823,-0.8246,-0.95969,-1.2719,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.038412,0.7327,2.5979,3.1416,-1.5154,-0.8246,-0.95969,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.04,0.16,-0.24,-0.33333,0.038412,0.72804,2.5979,3.1416,-1.5154,-0.81901,-0.95969,-1.2371,1
0.076923,0.73077,0.5,0,-1,-0.72,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.076711,0.78597,2.5979,3.1416,-1.4843,-0.77132,-0.95969,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.038412,0.7327,2.5979,3.1416,-1.5154,-0.8246,-0.95969,-1.2371,0.038462,0.73077,0.5,0,-1,-0.72,-0.79167,-0.96154,0.04,0.12,-0.24,-0.33333,0.038412,0.78597,2.5979,3.1416,-1.5154,-0.77132,-0.95969,-1.2371,1
0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.7327,2.5979,3.1416,-1.4823,-0.8246,-0.95969,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.7327,2.5979,3.1416,-1.4823,-0.8246,-0.95969,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.7327,2.5979,3.1416,-1.4823,-0.8246,-0.95969,-1.2371,1
0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.7327,2.5979,3.1416,-1.4823,-0.8246,-0.95969,-1.2371,0.038462,0.73077,0.5,0,-1,-0.72,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.78597,2.5979,3.1416,-1.4823,-0.77132,-0.95969,-1.2371,0.038462,0.69231,0.5,0,-1,-0.76,-0.79167,-0.96154,0.08,0.12,-0.24,-0.33333,0.03832,0.7327,2.5979,3.1416,-1.4823,-0.8246,-0.95969,-1.2371,1
